LASTNAME,FIRSTNAME,TITLE
GAYLE,CHRIS,CUST SERVICE REP.
McGREGOR,CONNORS,CUSTOMER SERVICE REPRESENTATIVE
DIAZ,NATE,SHIFT LEAD
DIAZ,NICK,REGION MANAGER
OWENS,BENJAMIN,ASISTANT MANAGER
SCOTT,MICHAEL,REGIONAL MANAGER
HALPERT,JIM,STORE MGR.
FOSTER,DERRICK,CUSTOMER SERVICE REP
SHRUTE,DWIGHT,CUSTOMER SERVICE REPRESENTATIVE
PAIGE,CARRINGTON,STORE MANAGER
SCHACHT,BRADLEY,DISTRICT MANAGER
BEESLY,PAM,ASSIST. MANAGER
LANDEN,COLLIN,CUTSOMER SERIVCE REPRESENTATIVE
SCHOWALTER,CHRISTOPHER,SHIFT LEADER
MCNAMARA,SEAN,REGIONAL MANAGER
COLBERT,STEPHEN,STORE MANAGER
RYAN,DUSTIN,DISTRICT MGR.
TROY,CHRISTIAN,REGIONAL MGR
ISHEE,SAM,SHIFT LEADER
WOOD,JOHN,CUSTOMER SERIVCE REP
ENGLE,DANIEL,ASSISTANT MANAGER
STEWART,JON,DISTRICT MANAGER
